"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","data"
"1","RT @eita_br: Atenção senadores: que tal ouvir a opinião do povo, pra variar?
#PEC55 #plc30 https://t.co/511UXoSpco",FALSE,0,NA,2016-11-17 21:40:17,FALSE,NA,"799366574998175745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gisneyferreira",15,TRUE,FALSE,NA,NA,2016-11-17
"2","RT @SenadoFederal: A #PEC55, que define limite de gastos por 20 anos, começará a ser votada no dia 29 de novembro. https://t.co/6MMRfhpEHU",FALSE,0,NA,2016-11-17 21:34:28,FALSE,NA,"799365109718142976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LucasYamaa",46,TRUE,FALSE,NA,NA,2016-11-17
"3","URGENTE: Senadores pedem suspensão no @STF_Oficial, da tramitação da #PEC55 [#TetoDosGatosPúblicos].",FALSE,0,NA,2016-11-17 21:30:04,FALSE,NA,"799364002514141184",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","helciobeuclair",0,FALSE,FALSE,NA,NA,2016-11-17
"4","Profa nos liberou pra palestra referente a #pec55 e orientou que podemos argumentar contrário aos argumentos mas nã… https://t.co/6JIW8SEZXe",FALSE,0,NA,2016-11-17 21:26:09,TRUE,NA,"799363017544765440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Feeh_RP",0,FALSE,FALSE,NA,NA,2016-11-17
"5","RT @SenadoFederal: A #PEC55, que define limite de gastos por 20 anos, começará a ser votada no dia 29 de novembro. https://t.co/6MMRfhpEHU",FALSE,0,NA,2016-11-17 21:25:25,FALSE,NA,"799362832441688065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luizadamaejoana",46,TRUE,FALSE,NA,NA,2016-11-17
"6","RT @SenadoFederal: Qual a sua opinião sobre a #PEC55, que estabelece limite de gastos do governo por 20 anos?",FALSE,0,NA,2016-11-17 21:25:19,FALSE,NA,"799362808521572352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luizadamaejoana",125,TRUE,FALSE,NA,NA,2016-11-17
"7","RT @SenadoFederal: A #PEC55, que define limite de gastos por 20 anos, começará a ser votada no dia 29 de novembro. https://t.co/6MMRfhpEHU",FALSE,0,NA,2016-11-17 21:23:16,FALSE,NA,"799362291397459969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","analovesick",46,TRUE,FALSE,NA,NA,2016-11-17
"8","""Quem foi às ruas bater panela assiste hoje omisso a todas as iniciativas que afetarão sua vida”:… https://t.co/j3n7C4sd8y",FALSE,0,NA,2016-11-17 21:19:43,TRUE,NA,"799361400481181696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ufmgeducativa",0,FALSE,FALSE,NA,NA,2016-11-17
"9","RT @eita_br: Atenção senadores: que tal ouvir a opinião do povo, pra variar?
#PEC55 #plc30 https://t.co/511UXoSpco",FALSE,0,NA,2016-11-17 21:05:51,FALSE,NA,"799357908077121536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RezendeNatt",15,TRUE,FALSE,NA,NA,2016-11-17
"10","RT @eita_br: Atenção senadores: que tal ouvir a opinião do povo, pra variar?
#PEC55 #plc30 https://t.co/511UXoSpco",FALSE,0,NA,2016-11-17 20:51:54,FALSE,NA,"799354399017549825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","botoxverde",15,TRUE,FALSE,NA,NA,2016-11-17
